Accounts,BS_Level,Botness,Entity,EntityID,Last_Seen,MediaLink,Trendiness,Tweets,Type
2,0.117,2.2,@mtcosmo1,16125,"Wed, 12 Feb 2020 03:55:46 GMT",http://pbs.twimg.com/media/EQi-SxuWsAAVzm-.jpg,200,2,user_mentions
2,0.117,2.2,https://twitter.com/daykercardoso/status/1227440133353418752/photo/1,16127,"Wed, 12 Feb 2020 03:55:46 GMT",http://pbs.twimg.com/media/EQi-SxuWsAAVzm-.jpg,200,2,media
16,0.115,0.8,@joelpinheiro85,460,"Wed, 12 Feb 2020 03:55:37 GMT",,800,17,user_mentions
6,0.114,0.9,@camilabomfim,3585,"Wed, 12 Feb 2020 03:50:14 GMT",,700,7,user_mentions
3,0.113,1.1,@betosilvabr,466,"Wed, 12 Feb 2020 03:34:39 GMT",,400,4,user_mentions
4,0.111,1.0,@mblivre,3059,"Wed, 12 Feb 2020 03:51:50 GMT",,500,5,user_mentions
352,0.109,0.7,@folha,27,"Wed, 12 Feb 2020 03:56:16 GMT",,1655,596,user_mentions
3,0.108,1.2,@andrizek,4986,"Wed, 12 Feb 2020 03:42:39 GMT",,300,3,user_mentions
232,0.107,0.7,@veramagalhaes,25,"Wed, 12 Feb 2020 03:56:16 GMT",,622,353,user_mentions
1,0.106,1.9,@zdoficial,17236,"Wed, 12 Feb 2020 03:54:39 GMT",http://pbs.twimg.com/media/EQi-82eW4AQfbnJ.jpg,200,2,user_mentions
2,0.106,2.0,@jpedrosmartins,11440,"Wed, 12 Feb 2020 03:53:30 GMT",,200,2,user_mentions
8,0.105,0.8,@miriamleitaocom,3556,"Wed, 12 Feb 2020 03:51:04 GMT",,900,9,user_mentions
8,0.105,0.8,@constancarezend,3555,"Wed, 12 Feb 2020 03:51:04 GMT",,900,9,user_mentions
2,0.101,1.2,@passarinhovoou,10959,"Wed, 12 Feb 2020 03:53:20 GMT",,300,3,user_mentions
5,0.101,0.8,@anninha_brasil,2122,"Wed, 12 Feb 2020 03:52:24 GMT",,900,9,user_mentions
2,0.098,1.2,@jooluizrodrigu6,4817,"Wed, 12 Feb 2020 03:54:35 GMT",,300,3,user_mentions
24,0.096,0.7,@domdasthreads,1042,"Wed, 12 Feb 2020 03:55:39 GMT",,2800,28,user_mentions
34,0.092,0.7,@visaomacro,1086,"Wed, 12 Feb 2020 03:55:09 GMT",,5800,58,user_mentions
